Age,Dependents,Education,City/Town,Annual_Income,Monthly_Expenses,Credit_Score,Existing_Loans,Total_Existing_Loan_Amount,Outstanding_Debt,Loan_History,Loan_Amount_Requested,Loan_Term,Interest_Rate,Co-Applicant,Bank_Account_History,Transaction_Frequency,Default_Risk,Loan_Approval_Status,Gender_Male,Marital_Status_Married,Marital_Status_Single,Employment_Status_Self-Employed,Employment_Status_Unemployed,Occupation_Type_Freelancer,Occupation_Type_Professional,Occupation_Type_Salaried,Residential_Status_Own,Residential_Status_Rent,Loan_Purpose_Home,Loan_Purpose_Personal,Loan_Purpose_Vehicle,Loan_Type_Unsecured
46,0,2,2,104709,957,785,2,22637,16999,0,30063,46,8.83,1,4,11,1.0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0
62,0,0,0,47014,3228,301,0,2800,18034,1,11812,138,5.78,1,7,13,0.45,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
36,3,1,1,93025,4361,841,2,14055,684,0,23291,33,13.88,0,0,12,0.99,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1
34,2,0,2,75135,1319,767,0,34856,586,0,20230,14,7.96,0,1,5,0.87,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
45,2,1,2,57086,1322,720,1,38022,23817,0,20000,74,4.05,1,8,20,0.1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1
47,0,1,1,68787,3370,476,2,22922,1856,0,7627,102,12.09,1,0,15,0.26,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
38,0,1,0,113970,642,752,1,23882,13430,0,23109,99,8.04,1,4,11,0.49,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1
30,1,1,1,84867,1834,843,0,5139,15634,0,20247,114,12.59,0,2,16,0.38,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1
44,3,0,2,39218,3424,535,1,34136,4201,0,13668,176,6.09,1,6,10,0.86,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
26,1,0,2,144086,3605,782,2,34382,22836,0,41482,43,7.51,1,2,15,0.16,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1
32,1,0,1,51312,1315,306,0,4279,20091,0,5532,49,11.41,1,7,8,0.32,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
49,3,0,2,78213,1958,707,1,31238,5212,0,21868,102,3.52,0,7,23,0.58,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
47,1,0,0,135699,914,785,0,40493,20525,1,31162,181,13.9,1,8,21,0.73,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1
46,3,1,1,147765,3373,782,0,31657,21790,0,29890,105,13.43,1,1,21,0.78,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0
39,2,0,2,56923,936,747,0,47433,22154,0,20000,115,9.85,1,3,21,0.42,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
28,3,1,2,110507,2019,817,2,31255,15717,0,25551,82,6.38,0,6,6,0.24,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1
60,1,1,2,35894,2862,500,0,34274,2027,0,7191,181,7.88,1,9,24,0.58,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1
31,1,2,1,140078,3105,704,2,17459,20409,0,32266,99,4.72,1,0,8,0.1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
39,1,2,1,79460,1691,768,2,21615,27646,0,22653,75,5.9,1,6,23,0.18,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
44,3,1,1,112370,1470,826,0,16792,9182,1,31502,45,12.42,0,8,21,0.87,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0
43,0,1,2,117974,713,772,0,17521,9083,0,25546,60,4.57,1,7,19,0.3,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1
38,1,2,2,50689,1930,800,1,23732,769,0,20000,71,13.95,1,2,23,0.83,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1
34,2,1,2,80943,2181,736,2,4963,16649,1,21963,198,6.7,0,3,11,0.5,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
48,2,1,1,125788,4147,799,1,43474,17507,1,21163,42,9.19,1,1,16,0.92,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
30,2,0,2,102705,2406,738,2,33917,4709,0,26269,60,7.22,0,0,16,0.78,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0
26,3,2,1,117481,1036,759,2,22458,14403,0,26412,48,3.79,0,0,10,1.0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0
31,0,1,2,143256,3898,829,0,33195,21590,0,42430,130,12.25,0,6,21,0.15,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0
48,3,1,2,76537,4094,762,2,28917,21635,0,21028,223,11.08,1,9,24,0.43,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
45,2,0,2,144065,2930,789,2,34839,15850,0,37995,70,8.87,1,0,6,0.75,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1
