Applicant_ID,Gender,Age,Marital_Status,Dependents,Education,Employment_Status,Occupation_Type,Residential_Status,City/Town,Annual_Income,Monthly_Expenses,Credit_Score,Existing_Loans,Total_Existing_Loan_Amount,Outstanding_Debt,Loan_History,Loan_Amount_Requested,Loan_Term,Loan_Purpose,Interest_Rate,Loan_Type,Co-Applicant,Bank_Account_History,Transaction_Frequency,Default_Risk,Loan_Approval_Status
34,Female,59,Married,0,Graduate,Employed,Freelancer,Other,Urban,42620,4689,391,1,27323,20923,0,14659,196,Home,5.03,Unsecured,No,7,20,0.08,0
35,Female,29,Married,3,Graduate,Employed,Freelancer,Other,Suburban,39883,2928,510,1,47837,19322,0,9056,44,Home,14.16,Secured,Yes,1,21,0.24,0
36,Female,53,Married,0,Graduate,Self-Employed,Freelancer,Own,Suburban,66047,849,482,0,42842,16363,0,24795,124,Education,3.97,Secured,Yes,9,26,0.71,0
37,Female,39,Single,0,High School,Employed,Freelancer,Own,Urban,140024,3496,825,1,30144,21141,1,34924,87,Home,7.29,Unsecured,Yes,7,28,0.94,1
38,Female,38,Married,1,High School,Unemployed,Business,Own,Urban,56434,4714,760,1,44072,14797,0,20000,47,Home,10.47,Secured,Yes,9,28,0.12,1
39,Male,37,Married,3,Postgraduate,Self-Employed,Salaried,Own,Suburban,88355,3157,752,0,39101,26645,0,23097,229,Education,14.68,Unsecured,Yes,8,28,0.67,1
40,Male,41,Married,0,High School,Self-Employed,Business,Own,Rural,138057,4469,726,1,49996,8323,0,31869,74,Home,7.27,Secured,No,2,27,0.23,1
41,Male,46,Married,1,Graduate,Employed,Professional,Own,Urban,51249,1891,815,2,20168,22824,0,20000,120,Home,4.78,Unsecured,Yes,0,5,0.78,1
42,Female,47,Single,2,Postgraduate,Self-Employed,Freelancer,Own,Urban,67520,4023,843,1,34107,5958,0,20017,54,Home,5.07,Secured,Yes,0,19,0.55,1
43,Male,29,Married,1,High School,Self-Employed,Professional,Own,Suburban,122670,3948,723,0,47607,19881,0,24781,143,Vehicle,10.66,Unsecured,No,3,9,0.95,1
44,Female,59,Married,1,Graduate,Self-Employed,Freelancer,Own,Urban,67367,1815,418,1,40511,27294,0,13580,156,Home,8.52,Secured,No,6,8,0.16,0
45,Female,34,Married,1,Graduate,Self-Employed,Freelancer,Rent,Suburban,134031,3080,812,0,20736,28911,1,36100,85,Personal,11.24,Unsecured,No,6,12,0.76,0
46,Male,41,Married,3,Graduate,Self-Employed,Business,Rent,Rural,116852,3954,741,1,38210,17280,0,23742,149,Home,4.12,Unsecured,Yes,7,28,0.39,0
47,Female,43,Married,1,Graduate,Self-Employed,Salaried,Own,Urban,122278,4560,828,0,20248,5386,0,20342,197,Vehicle,13.13,Secured,No,1,22,0.75,1
48,Male,46,Married,3,Graduate,Self-Employed,Business,Own,Suburban,52600,2669,794,1,32961,28914,0,20000,81,Education,3.87,Secured,No,6,17,0.41,1
49,Male,47,Single,3,High School,Self-Employed,Salaried,Own,Urban,60103,1176,847,0,35354,788,0,20000,41,Personal,11.67,Unsecured,No,5,17,0.9,1
50,Male,49,Divorced,1,Graduate,Employed,Business,Own,Urban,64215,549,782,1,20182,19492,0,20000,81,Home,4.5,Unsecured,Yes,2,18,0.89,0
51,Male,61,Single,1,Postgraduate,Employed,Salaried,Own,Suburban,24428,1093,548,0,9292,17323,0,6342,181,Home,13.78,Secured,No,3,19,0.86,0
52,Female,45,Single,0,Graduate,Employed,Salaried,Own,Urban,33432,1751,357,0,17881,13599,0,6055,190,Home,9.67,Secured,Yes,7,18,0.25,0
53,Male,19,Married,2,Graduate,Unemployed,Salaried,Own,Urban,32418,1717,587,0,37560,22349,0,11224,73,Education,7.35,Unsecured,No,4,19,0.2,1
54,Male,20,Single,1,Postgraduate,Employed,Business,Other,Urban,41190,2918,511,2,41654,18678,1,9663,74,Home,13.35,Unsecured,Yes,8,17,0.6,0
55,Female,39,Single,3,Graduate,Self-Employed,Business,Rent,Suburban,63611,1868,846,0,16021,285,0,20000,54,Home,12.79,Unsecured,Yes,6,9,0.47,1
56,Male,30,Single,0,Graduate,Employed,Professional,Own,Urban,43060,1835,306,1,17048,4879,0,9244,160,Education,9.76,Unsecured,No,1,8,0.9,0
57,Female,28,Single,0,High School,Employed,Business,Own,Urban,120324,3705,720,0,41166,10525,0,29625,32,Education,5.63,Secured,Yes,9,28,0.12,1
58,Male,45,Married,1,Graduate,Employed,Freelancer,Own,Urban,126335,3783,756,0,16291,14334,1,20464,40,Home,5.93,Unsecured,No,6,21,0.44,1
59,Male,38,Married,0,High School,Employed,Freelancer,Own,Suburban,143063,2401,788,1,22407,10490,0,32776,224,Education,8.41,Unsecured,No,9,17,0.22,1
60,Female,37,Married,3,High School,Self-Employed,Professional,Rent,Urban,106339,3492,827,1,38747,3190,0,28112,193,Vehicle,4.73,Secured,Yes,7,19,0.22,0
61,Male,31,Married,1,High School,Employed,Business,Other,Urban,127737,4816,777,0,29781,8134,1,32997,213,Personal,13.95,Unsecured,No,7,15,0.13,1
62,Male,38,Married,2,High School,Employed,Professional,Rent,Suburban,148537,1408,849,1,15771,18477,1,24363,40,Personal,14.11,Secured,No,1,14,0.82,1
63,Female,55,Divorced,1,Graduate,Employed,Freelancer,Own,Urban,32920,2753,385,1,35987,7125,1,6749,26,Home,14.18,Unsecured,No,2,23,0.47,0
64,Male,29,Married,3,Postgraduate,Employed,Business,Rent,Suburban,64093,2296,807,2,32765,4132,0,20000,147,Education,3.74,Unsecured,Yes,5,27,0.37,1
65,Male,37,Married,0,Graduate,Employed,Professional,Own,Suburban,104510,3578,772,1,42942,21722,0,22924,89,Vehicle,9.26,Unsecured,Yes,8,25,0.62,1
66,Female,30,Single,2,Graduate,Self-Employed,Professional,Own,Rural,94133,2377,795,0,31882,29162,0,22170,200,Education,12.69,Unsecured,Yes,5,9,0.88,1
67,Male,41,Single,2,Graduate,Unemployed,Professional,Other,Urban,122542,1907,744,2,35412,9871,0,24127,198,Education,10.94,Unsecured,Yes,2,16,0.56,1
68,Female,57,Single,2,High School,Self-Employed,Professional,Own,Suburban,57570,4022,473,2,19301,13054,0,13185,93,Home,8.37,Secured,No,3,29,0.75,0
69,Female,31,Divorced,2,Postgraduate,Self-Employed,Salaried,Own,Urban,69760,1179,753,0,12975,20200,0,20122,123,Personal,5.99,Secured,Yes,0,6,0.96,0
70,Male,63,Single,2,High School,Employed,Business,Own,Rural,69578,2278,578,1,19872,15772,0,26182,76,Home,12.44,Secured,No,1,10,0.07,0
71,Female,52,Single,3,High School,Self-Employed,Professional,Other,Urban,36908,2117,486,2,32759,3811,0,6651,142,Education,3.67,Unsecured,Yes,8,27,0.22,0
72,Male,42,Married,1,High School,Employed,Freelancer,Own,Urban,57231,4387,776,2,48420,27872,0,20000,186,Home,6.36,Secured,No,0,25,0.69,1
73,Female,49,Single,1,Postgraduate,Employed,Freelancer,Rent,Urban,73735,1623,795,2,36627,22058,0,20335,164,Education,5.67,Secured,No,7,11,0.95,1
74,Male,38,Married,0,Graduate,Unemployed,Salaried,Own,Urban,32625,2006,393,0,20021,11026,0,11885,53,Education,4.49,Secured,Yes,9,20,0.18,0
75,Male,42,Married,0,Graduate,Employed,Business,Own,Urban,55882,1855,343,1,33737,6135,1,19530,67,Education,4.95,Unsecured,No,3,21,0.67,1
76,Female,48,Single,3,Postgraduate,Employed,Salaried,Rent,Urban,43008,2442,364,1,43328,177,1,12571,236,Vehicle,11.8,Secured,Yes,0,24,0.63,1
77,Female,32,Divorced,3,Postgraduate,Employed,Professional,Rent,Rural,25233,2157,500,0,29026,5905,0,8567,58,Home,7.34,Unsecured,Yes,5,21,0.08,0
78,Male,39,Single,0,Postgraduate,Employed,Business,Own,Urban,96440,3063,773,1,24091,11162,0,25540,56,Home,7.65,Secured,No,8,15,0.22,1
79,Male,49,Single,2,Postgraduate,Self-Employed,Freelancer,Own,Urban,109631,2318,744,2,17351,1826,0,24384,132,Vehicle,10.88,Secured,Yes,2,6,0.23,1
80,Male,43,Married,0,Graduate,Self-Employed,Freelancer,Rent,Suburban,142307,4963,754,0,23783,3183,0,21258,211,Education,11.72,Unsecured,Yes,6,24,0.44,1
81,Male,68,Single,3,High School,Unemployed,Salaried,Own,Urban,37539,2887,336,1,49896,19749,0,12023,193,Education,14.14,Unsecured,No,0,12,0.07,0
82,Female,37,Married,0,High School,Self-Employed,Salaried,Rent,Urban,129380,1557,783,2,40693,4720,0,32699,200,Personal,14.74,Secured,No,7,7,0.26,1
83,Female,38,Married,2,Graduate,Self-Employed,Salaried,Own,Urban,149375,4464,817,1,45074,1686,0,23706,98,Vehicle,8.45,Unsecured,No,9,5,0.02,1
84,Male,49,Single,0,Graduate,Employed,Salaried,Own,Suburban,71260,902,728,1,19517,12570,1,20910,78,Vehicle,8.11,Unsecured,No,9,23,0.16,1
85,Male,43,Single,1,High School,Employed,Salaried,Own,Suburban,135220,3057,823,1,43294,25786,0,38280,44,Personal,14.15,Secured,No,8,12,0.31,1
86,Male,47,Married,1,High School,Unemployed,Business,Rent,Urban,70684,878,785,2,5830,27409,0,20953,35,Education,9.14,Secured,Yes,7,5,0.12,1
87,Female,36,Married,3,Postgraduate,Self-Employed,Business,Own,Urban,67283,4000,568,0,3935,200,1,11245,21,Personal,8.49,Secured,Yes,4,21,0.37,0
88,Male,41,Married,2,Graduate,Employed,Salaried,Other,Rural,88507,4612,841,0,4480,17424,0,25515,132,Vehicle,12.96,Unsecured,Yes,5,15,0.26,1
89,Male,61,Married,0,High School,Employed,Freelancer,Rent,Urban,44493,4989,593,0,27009,10449,1,13470,136,Personal,5.79,Unsecured,Yes,6,28,0.32,0
90,Female,40,Single,2,Graduate,Self-Employed,Salaried,Rent,Urban,88124,3425,727,0,19694,29696,0,20682,208,Home,6.41,Unsecured,Yes,5,29,0.49,1
91,Male,43,Single,2,High School,Employed,Professional,Own,Urban,131192,2215,823,2,25467,23923,1,23590,223,Personal,9.53,Unsecured,Yes,8,16,0.53,1
92,Male,62,Married,3,Postgraduate,Employed,Business,Own,Urban,50569,3826,518,1,39389,2280,0,6504,28,Home,11.2,Secured,Yes,3,10,0.8,0
93,Female,27,Married,0,Postgraduate,Self-Employed,Business,Own,Urban,57948,4743,561,1,8069,17606,0,12598,76,Vehicle,10.89,Secured,No,9,5,0.83,1
94,Male,32,Divorced,3,Graduate,Self-Employed,Freelancer,Other,Suburban,103775,3036,765,0,32188,23664,0,26779,227,Home,5.85,Secured,No,2,24,0.84,0
95,Male,66,Married,3,High School,Self-Employed,Professional,Own,Suburban,63742,4367,455,2,26135,11287,0,5005,94,Vehicle,11.49,Secured,No,4,23,0.6,0
96,Female,37,Married,0,High School,Self-Employed,Professional,Own,Rural,123775,2700,773,2,3150,18475,0,21760,121,Home,8.97,Secured,Yes,5,29,0.97,1
97,Male,26,Single,2,Graduate,Unemployed,Professional,Own,Suburban,56089,3386,823,0,26096,9860,0,20000,177,Vehicle,9.74,Secured,Yes,0,16,0.94,1
98,Female,49,Divorced,0,High School,Employed,Business,Rent,Suburban,102144,4368,770,2,6393,20072,1,22702,108,Vehicle,10.4,Secured,No,6,10,0.59,1
99,Female,36,Single,1,Postgraduate,Self-Employed,Business,Own,Suburban,118209,3259,796,1,30979,3438,1,21339,23,Education,9.19,Unsecured,No,0,6,0.25,1
100,Female,48,Single,2,Graduate,Unemployed,Professional,Own,Urban,112560,2852,802,0,318,3543,0,22315,229,Education,10.75,Secured,No,7,26,0.94,0
101,Male,42,Single,1,Graduate,Self-Employed,Freelancer,Own,Suburban,143783,3379,725,1,33778,12932,0,39683,237,Education,9.19,Secured,Yes,4,18,0.15,1
102,Female,43,Married,1,High School,Self-Employed,Salaried,Own,Suburban,74599,4776,798,0,32177,8876,0,20034,132,Personal,6.4,Unsecured,Yes,4,9,0.91,1
103,Female,48,Married,1,Graduate,Self-Employed,Freelancer,Other,Urban,52665,4472,793,2,49387,20339,0,20000,82,Education,4.35,Secured,No,9,20,0.76,1
104,Male,40,Single,2,Graduate,Employed,Business,Own,Suburban,139214,2602,713,0,44270,18648,0,35421,44,Personal,7.51,Secured,No,1,26,0.28,0
105,Male,37,Married,1,Graduate,Self-Employed,Business,Rent,Urban,57629,3078,432,2,11317,15767,1,16929,175,Home,13.26,Secured,Yes,4,19,0.28,0
106,Male,26,Married,0,Postgraduate,Self-Employed,Salaried,Own,Rural,108143,4118,708,2,30703,17413,0,22765,107,Home,8.44,Unsecured,No,0,6,0.85,0
107,Female,44,Married,3,Graduate,Employed,Professional,Own,Suburban,105508,4244,730,0,15382,21345,0,25968,12,Home,12.63,Secured,Yes,6,10,0.14,1
108,Male,55,Single,2,High School,Unemployed,Freelancer,Own,Urban,34907,3184,463,0,2470,5040,0,12034,103,Home,8.74,Secured,Yes,5,28,0.17,1
109,Male,38,Married,2,Graduate,Employed,Professional,Own,Urban,96672,4210,709,0,42088,1878,0,21819,31,Home,14.3,Secured,Yes,6,16,0.03,1
110,Female,48,Single,2,Postgraduate,Employed,Business,Own,Urban,106180,4531,809,0,5592,22604,1,27308,78,Home,5.56,Secured,Yes,4,28,0.3,1
111,Female,27,Single,3,Postgraduate,Employed,Professional,Own,Urban,126601,952,833,2,39783,17915,0,37201,79,Home,13.06,Secured,No,6,24,0.71,1
112,Female,45,Married,0,High School,Employed,Business,Other,Urban,87378,2256,773,2,39599,29728,0,24418,28,Education,13.77,Secured,Yes,1,14,0.61,1
113,Male,36,Married,1,High School,Self-Employed,Salaried,Rent,Urban,61410,3344,475,0,5019,16937,0,12388,134,Personal,6.97,Unsecured,No,7,23,0.53,0
114,Female,25,Single,2,Graduate,Self-Employed,Professional,Rent,Rural,37979,2481,440,0,47153,7678,0,7467,227,Education,10.89,Unsecured,Yes,3,17,0.05,0
115,Male,32,Single,0,Graduate,Employed,Freelancer,Own,Urban,136706,4303,721,1,2100,997,0,23620,204,Vehicle,5.21,Unsecured,Yes,4,6,0.4,0
116,Female,23,Single,1,High School,Self-Employed,Professional,Rent,Urban,43332,3274,398,1,35830,27813,0,17202,137,Vehicle,3.57,Unsecured,Yes,8,8,0.31,0
117,Male,59,Married,3,Graduate,Unemployed,Professional,Other,Urban,63314,1285,342,0,36400,25674,0,5904,217,Education,7.36,Secured,No,8,10,0.67,0
118,Female,35,Divorced,0,High School,Self-Employed,Professional,Rent,Urban,137955,1298,734,2,30053,4107,0,38046,86,Personal,4.21,Unsecured,No,6,11,0.24,1
119,Female,66,Married,2,High School,Self-Employed,Freelancer,Own,Urban,51222,990,440,1,25771,2849,0,19370,197,Home,11.98,Secured,Yes,4,28,0.92,1
120,Male,35,Married,3,Graduate,Self-Employed,Salaried,Own,Urban,60565,3416,745,1,12168,9521,0,20000,169,Vehicle,6.09,Secured,No,9,19,0.39,1
121,Female,68,Married,2,Postgraduate,Self-Employed,Business,Other,Urban,64584,2712,554,0,17296,28858,0,13538,152,Home,13.37,Unsecured,No,7,14,0.58,0
122,Female,30,Married,0,Graduate,Employed,Business,Own,Suburban,36440,2633,461,2,672,27216,0,14435,119,Vehicle,12.54,Secured,Yes,9,18,0.35,0
123,Female,48,Single,0,Graduate,Employed,Business,Rent,Urban,101200,4098,786,2,10311,16307,1,20803,237,Vehicle,4.41,Secured,No,0,19,0.72,1
124,Female,27,Single,2,High School,Employed,Professional,Own,Suburban,57752,1516,715,0,1830,22695,0,20000,66,Home,11.69,Secured,No,1,15,0.38,0
125,Female,30,Married,0,Graduate,Unemployed,Salaried,Own,Suburban,100814,2452,720,1,46635,12786,0,27299,200,Home,14.53,Secured,No,0,7,0.72,0
126,Male,26,Married,3,Postgraduate,Self-Employed,Business,Own,Urban,106351,1504,762,0,46686,20418,1,22578,33,Personal,7.5,Unsecured,Yes,0,22,0.31,0
127,Female,50,Single,3,Postgraduate,Self-Employed,Salaried,Own,Urban,35323,2279,572,2,21650,28767,0,7048,223,Personal,10.4,Unsecured,Yes,6,21,0.74,1
128,Female,33,Married,0,High School,Unemployed,Salaried,Rent,Urban,61427,3911,569,1,47060,12497,0,14612,102,Education,12.23,Secured,Yes,3,5,0.21,0
129,Female,49,Single,1,High School,Unemployed,Professional,Own,Urban,94491,2017,739,2,4693,5617,1,23742,239,Home,5.35,Secured,No,9,26,0.9,1
130,Female,33,Single,1,Postgraduate,Employed,Professional,Own,Urban,137815,3570,791,2,48380,10900,1,36366,144,Education,5.22,Unsecured,Yes,2,25,0.65,1
131,Male,45,Single,2,Postgraduate,Unemployed,Salaried,Rent,Suburban,98424,1983,700,0,6612,28709,0,22124,82,Personal,13.74,Secured,Yes,7,29,0.34,1
132,Male,25,Single,3,Postgraduate,Employed,Professional,Own,Urban,126974,1508,808,0,436,7037,1,22495,188,Personal,14.34,Secured,Yes,7,16,0.08,1
133,Male,42,Married,2,High School,Employed,Salaried,Rent,Urban,115813,1134,835,0,15016,29279,0,31837,36,Vehicle,6.14,Unsecured,Yes,6,23,0.07,1
134,Male,41,Married,0,Graduate,Employed,Professional,Own,Urban,122024,2461,780,1,26735,14350,0,26740,61,Personal,7.51,Secured,No,1,18,0.15,0
135,Male,33,Married,3,High School,Self-Employed,Professional,Own,Urban,50850,620,555,1,12972,11561,0,9424,231,Vehicle,13.05,Unsecured,No,3,26,0.18,1
136,Male,30,Divorced,2,Graduate,Unemployed,Salaried,Own,Urban,90036,2226,772,1,520,25737,0,26096,186,Home,7.87,Unsecured,Yes,2,20,0.43,1
137,Female,42,Married,1,High School,Self-Employed,Business,Other,Urban,111979,3132,761,1,46628,7447,0,31920,163,Education,7.69,Secured,No,6,16,0.52,1
138,Female,31,Divorced,3,Graduate,Employed,Professional,Own,Urban,63263,3560,502,1,7817,20390,0,13416,191,Home,6.43,Unsecured,No,7,22,0.07,0
139,Female,41,Single,3,High School,Unemployed,Business,Own,Urban,71974,2612,843,0,30660,2822,0,20116,205,Vehicle,4.68,Secured,Yes,9,13,0.14,1
140,Female,43,Single,2,High School,Unemployed,Salaried,Rent,Urban,63774,3393,595,2,40933,13116,0,20768,104,Education,3.67,Unsecured,No,7,20,0.35,1
141,Male,23,Single,3,High School,Self-Employed,Salaried,Own,Urban,34831,1857,556,0,103,28649,0,12852,102,Home,5.35,Unsecured,Yes,5,10,1.0,0
142,Male,35,Married,2,High School,Self-Employed,Salaried,Other,Suburban,68641,2898,800,2,24655,1123,0,20120,193,Vehicle,5.35,Unsecured,No,2,16,0.29,0
143,Male,26,Married,1,Postgraduate,Employed,Business,Own,Suburban,58453,2391,760,0,15398,5486,0,20000,30,Education,13.58,Secured,Yes,7,23,0.25,0
144,Male,49,Married,0,Graduate,Self-Employed,Professional,Other,Suburban,144508,2472,787,0,42460,1546,0,28073,110,Home,11.37,Unsecured,Yes,3,20,0.85,1
145,Male,27,Married,3,High School,Unemployed,Business,Other,Urban,122800,635,820,2,15993,15219,0,22208,50,Education,7.37,Secured,Yes,7,28,0.94,1
146,Male,32,Married,0,Graduate,Employed,Salaried,Own,Suburban,85163,4310,774,2,14033,16914,0,22311,191,Personal,6.14,Secured,No,4,22,0.78,1
147,Male,33,Single,2,Graduate,Unemployed,Salaried,Own,Urban,105542,2681,837,1,34765,14222,0,20138,142,Home,11.72,Secured,No,0,28,0.37,1
148,Female,34,Married,3,Postgraduate,Employed,Salaried,Rent,Suburban,65320,1759,760,1,1533,11448,0,20000,146,Vehicle,11.93,Secured,No,9,15,0.12,1
149,Male,45,Married,2,Graduate,Employed,Freelancer,Own,Urban,138556,708,726,0,28473,10845,0,23002,175,Education,8.1,Unsecured,Yes,8,12,0.9,1
150,Male,46,Single,0,Postgraduate,Employed,Salaried,Own,Urban,104709,957,785,2,22637,16999,0,30063,46,Home,8.83,Secured,Yes,4,11,1.0,1
151,Female,62,Single,0,High School,Employed,Professional,Own,Rural,47014,3228,301,0,2800,18034,1,11812,138,Home,5.78,Secured,Yes,7,13,0.45,0
152,Male,36,Single,3,Graduate,Unemployed,Salaried,Own,Suburban,93025,4361,841,2,14055,684,0,23291,33,Education,13.88,Unsecured,No,0,12,0.99,1
153,Female,34,Single,2,High School,Employed,Business,Own,Urban,75135,1319,767,0,34856,586,0,20230,14,Home,7.96,Secured,No,1,5,0.87,1
154,Male,45,Married,2,Graduate,Employed,Salaried,Rent,Urban,57086,1322,720,1,38022,23817,0,20000,74,Vehicle,4.05,Unsecured,Yes,8,20,0.1,0
155,Female,47,Single,0,Graduate,Employed,Professional,Rent,Suburban,68787,3370,476,2,22922,1856,0,7627,102,Education,12.09,Unsecured,Yes,0,15,0.26,0
156,Female,38,Married,0,Graduate,Employed,Freelancer,Own,Rural,113970,642,752,1,23882,13430,0,23109,99,Personal,8.04,Unsecured,Yes,4,11,0.49,1
157,Male,30,Single,1,Graduate,Employed,Business,Own,Suburban,84867,1834,843,0,5139,15634,0,20247,114,Personal,12.59,Unsecured,No,2,16,0.38,1
158,Female,44,Married,3,High School,Employed,Salaried,Own,Urban,39218,3424,535,1,34136,4201,0,13668,176,Personal,6.09,Unsecured,Yes,6,10,0.86,0
159,Female,26,Single,1,High School,Unemployed,Professional,Own,Urban,144086,3605,782,2,34382,22836,0,41482,43,Home,7.51,Unsecured,Yes,2,15,0.16,1
160,Female,32,Married,1,High School,Employed,Business,Rent,Suburban,51312,1315,306,0,4279,20091,0,5532,49,Vehicle,11.41,Unsecured,Yes,7,8,0.32,0
161,Female,49,Married,3,High School,Employed,Business,Rent,Urban,78213,1958,707,1,31238,5212,0,21868,102,Home,3.52,Unsecured,No,7,23,0.58,1
162,Male,47,Married,1,High School,Unemployed,Professional,Own,Rural,135699,914,785,0,40493,20525,1,31162,181,Education,13.9,Unsecured,Yes,8,21,0.73,1
163,Female,46,Single,3,Graduate,Self-Employed,Freelancer,Other,Suburban,147765,3373,782,0,31657,21790,0,29890,105,Home,13.43,Secured,Yes,1,21,0.78,1
